# count	conf	archetype	colorL	name
231	medium	sugar	5	Candi Syrup - Belgian Candi Syrup - Golden (5L)
225	medium	dark-candi-syrup	40	Candi Syrup - Belgian Candi Syrup - Amber (40L)
215	medium	sugar	5	Soft Candi Sugar - Blond
198	medium	brown-malt	90.4	New Zealand - Brown Malt
194	low	base-pale	3	United Kingdom - Mild
162	low	base-pale	2	American - Buckwheat Malt - Gluten Free
157	low	base-pale	3.6	German - Kölsch
155	low	base-pale	5.3	Briess - Ashbourne Mild
148	medium	biscuit-malt	19	Finland - Cookie Malt
132	medium	dark-candi-syrup	60	Belgian Candi Sugar - Amber/Brown
132	medium	munich-dark	29.4	New Zealand - Aurora Malt
130	low	base-pale	2	New Zealand - Sour Grapes Malt
126	medium	dark-candi-syrup	60	Soft Candi Sugar - Brown
124	low	base-pale	5.5	Torrified Barley
124	low	base-pale	2	Ireland - Stout Malt
123	medium	dark-candi-syrup	275	Belgian Candi Sugar - Dark
122	medium	munich-dark	32.9	New Zealand - Red Back Malt
121	medium	dark-candi-syrup	80	Candi Syrup - Belgian Candi Syrup - Dark
115	low	base-pale	1.5	American - Pale Millet Malt - Gluten Free
110	low	base-pale	1	Grits
110	medium	dark-candi-syrup	40	Candi Syrup - Belgian Candi Syrup - Amber
104	medium	amber-malt	27.5	Crisp Malting - Amber
102	low	base-pale	2	Great Western  - Premium Two Row
101	low	chocolate-malt	152.3	New Zealand - Shepherds Delight Malt
100	medium	sugar	0	Candi Syrup - Belgian Candi Syrup - Clear
94	low	base-pale	0	Raisins (dried)
77	low	base-pale	3	Crisp Malting - Best Ale
71	medium	munich-dark	14	Finland - Dark Ale
